,slopes,features
15,2.3501377868036673,Veil-Color
16,1.5745265808088889,Ring-Number
19,1.0626507246318264,Population
14,0.7073881671292922,Stalk-Color-Below-Ring
13,0.6939528252436862,Stalk-Color-Above-Ring
6,0.6722387796973743,Gill-Spacing
0,0.6502520450138739,Class
7,0.5487887122583088,Gill-Size
9,0.5307701427148225,Stalk-Shape
20,0.24193983094788918,Habitat
3,0.12936781973412037,Cap-Color
1,0.046628908105390214,Cap-Shape
8,0.007346766912983449,Gill-Color
18,-0.17391991817135,Spore-Print-Color
5,-0.5851730542658142,Odor
12,-0.6543880865820987,Stalk-Surface-Below-Ring
4,-1.0062230392813232,Bruises
11,-1.0997585007113937,Stalk-Surface-Above-Ring
2,-1.1244002414072758,Cap-Surface
17,-1.294269710762574,Ring-Type
10,-1.4836498798884155,Stalk-Root
