,slopes,features,position
0,0.0,Veil-Color,0
1,0.0,Ring-Number,0
2,0.0,Population,0
3,0.0,Stalk-Color-Below-Ring,0
4,0.0,Stalk-Color-Above-Ring,0
5,0.0,Gill-Spacing,0
6,0.0,Class,0
7,0.0,Gill-Size,0
8,0.0,Stalk-Shape,0
9,0.0,Habitat,0
10,0.0,Cap-Color,0
11,0.0,Cap-Shape,0
12,0.0,Gill-Color,0
13,0.0,Spore-Print-Color,0
14,0.0,Odor,0
15,0.0,Stalk-Surface-Below-Ring,0
16,0.0,Bruises,0
17,0.0,Stalk-Surface-Above-Ring,0
18,0.0,Cap-Surface,0
19,0.0,Ring-Type,0
20,0.0,Stalk-Root,0
21,2.3501377868036673,Veil-Color,1
22,1.5745265808088889,Ring-Number,1
23,1.0626507246318264,Population,1
24,0.7073881671292922,Stalk-Color-Below-Ring,1
25,0.6939528252436862,Stalk-Color-Above-Ring,1
26,0.6722387796973743,Gill-Spacing,1
27,0.6502520450138739,Class,1
28,0.5487887122583088,Gill-Size,1
29,0.5307701427148225,Stalk-Shape,1
30,0.24193983094788918,Habitat,1
31,0.12936781973412037,Cap-Color,1
32,0.046628908105390214,Cap-Shape,1
33,0.007346766912983449,Gill-Color,1
34,-0.17391991817135,Spore-Print-Color,1
35,-0.5851730542658142,Odor,1
36,-0.6543880865820987,Stalk-Surface-Below-Ring,1
37,-1.0062230392813232,Bruises,1
38,-1.0997585007113937,Stalk-Surface-Above-Ring,1
39,-1.1244002414072758,Cap-Surface,1
40,-1.294269710762574,Ring-Type,1
41,-1.4836498798884155,Stalk-Root,1
