,position,slope,features
0,0,0.0,Veil-Color: white
1,0,0.0,Stalk-Root: bulbous
2,0,0.0,Stalk-Color-Above-Ring: white
3,0,0.0,Stalk-Color-Below-Ring: white
4,0,0.0,Bruises: bruises
5,0,0.0,Stalk-Shape: tapering
6,0,0.0,Ring-Type: evanescent
7,0,0.0,Gill-Size: narrow
8,0,0.0,Habitat: grasses
9,0,0.0,Cap-Surface: fibrous
10,1,1.22,Veil-Color: white
11,1,0.98,Stalk-Root: bulbous
12,1,0.95,Stalk-Color-Above-Ring: white
13,1,0.94,Stalk-Color-Below-Ring: white
14,1,0.78,Bruises: bruises
15,1,0.6,Stalk-Shape: tapering
16,1,0.59,Ring-Type: evanescent
17,1,0.54,Gill-Size: narrow
18,1,0.46,Habitat: grasses
19,1,0.43,Cap-Surface: fibrous
