,slopes,features,position
0,0.0,Veil-Color,0
1,0.0,Ring-Number,0
2,0.0,Population,0
3,0.0,Stalk-Color-Below-Ring,0
4,0.0,Stalk-Color-Above-Ring,0
5,0.0,Bruises,0
6,0.0,Stalk-Surface-Above-Ring,0
7,0.0,Cap-Surface,0
8,0.0,Ring-Type,0
9,0.0,Stalk-Root,0
10,2.3501377868036673,Veil-Color,1
11,1.5745265808088889,Ring-Number,1
12,1.0626507246318264,Population,1
13,0.7073881671292922,Stalk-Color-Below-Ring,1
14,0.6939528252436862,Stalk-Color-Above-Ring,1
15,-1.0062230392813232,Bruises,1
16,-1.0997585007113937,Stalk-Surface-Above-Ring,1
17,-1.1244002414072758,Cap-Surface,1
18,-1.294269710762574,Ring-Type,1
19,-1.4836498798884155,Stalk-Root,1
